"homograph"	"wordid"	"sentence"	"start"	"end"
"advocate"	"advocate_vrb"	"During his political campaign, he promised to advocate for tax reform if elected."	46	54
"advocate"	"advocate_vrb"	"Her passionate speeches advocate for social justice and equality."	24	32
"advocate"	"advocate_vrb"	"During the pandemic, healthcare workers had to advocate for adequate protective equipment."	47	55
"affect"	"affect_nou-psy"	"A person's affect is often reflected in their facial expressions."	11	17
"affect"	"affect_nou-psy"	"Children learn emotional intelligence skills like identifying and managing their own affect from adult role models."	85	91
"affect"	"affect_nou-psy"	"Her affect changed dramatically after she started taking the medication."	4	10
"affect"	"affect_nou-psy"	"No one could miss the change in his affect towards the end of the play."	36	42
"affect"	"affect_nou-psy"	"The group's positive affect made for a productive meeting."	21	27
"affect"	"affect"	"A good night's sleep can positively affect cognitive function."	36	42
"affect"	"affect"	"The changes in management will not affect my job duties."	35	41
"affect"	"affect"	"The company's restructuring plan will affect several departments."	38	44
"affect"	"affect"	"The discovery of this new evidence may affect the case entirely."	39	45
"affect"	"affect"	"The rain will likely affect our plans for the picnic."	21	27
"affiliate"	"affiliate_nou"	"How do I sign up to become an affiliate for this product?"	30	39
"affiliate"	"affiliate_nou"	"She is an affiliate of a well-known marketing agency."	10	19
"affiliate"	"affiliate_nou"	"What percentage of sales does an average affiliate make per month?"	41	50
"affiliate"	"affiliate_nou"	"The business relies heavily on its affiliate partnerships to drive sales."	35	44
"affiliate"	"affiliate_nou"	"An affiliate marketer promotes other people’s or companies’ products."	3	12
"affiliate"	"affiliate_vrb"	"He wanted to affiliate himself with a professional association to enhance his career prospects."	13	22
"affiliate"	"affiliate_vrb"	"She decided to affiliate herself with the political party that aligns best with her values and beliefs."	15	24
"affiliate"	"affiliate_vrb"	"The hospital opted to affiliate with a larger healthcare network for better patient care and resource sharing."	22	31
"affiliate"	"affiliate_vrb"	"Though not required, many homeowners prefer to affiliate their property with a neighborhood watch group for added security measures."	47	56
"affiliate"	"affiliate_vrb"	"Researchers may affiliate with academic institutions to access resources and collaborators."	16	25
"aged"	"aged_adj"	"It is important for society to support and care for the aged."	56	60
"aged"	"aged_adj"	"His aged mother still lived alone, determined to maintain her independence."	4	8
"aged"	"aged_adj"	"The aged actor took on one last role before retiring from the stage forever."	4	8
"aged"	"aged_adj"	"After decades of hard work, the aged farmer finally retired to enjoy the fruits of his labor."	32	36
"aged"	"aged_adj"	"She was an aged woman with silver hair and a kind smile that suggested she had seen it all."	11	15
"aged"	"aged"	"After decades of use, the aged car finally gave up the ghost and needed to be replaced."	26	30
"aged"	"aged"	"As they explored the abandoned mansion, they discovered a hidden room filled with antique furniture, dusty and aged from disuse."	111	115
"aged"	"aged"	"He aged quickly after his illness, but he's now on the mend."	3	7
"aged"	"aged"	"By the time I reached my thirtieth birthday, I felt like I'd aged a lifetime."	61	65
"aged"	"aged"	"An elderly woman aged 90 was rescued from her burning home by firefighters early this morning."	17	21
"aggregate"	"aggregate_adj-nou"	"Due to privacy concerns, we cannot share individual user data; however, we can provide you with aggregate usage statistics."	96	105
"aggregate"	"aggregate_adj-nou"	"The aggregate value of all the stocks in the portfolio was millions of dollars."	4	13
"aggregate"	"aggregate_adj-nou"	"While there may be variations within each group, the aggregate results suggest a strong correlation between these factors."	53	62
"aggregate"	"aggregate_adj-nou"	"The construction site used an aggregate of crushed stone and sand to make concrete."	30	39
"aggregate"	"aggregate_adj-nou"	"We need a more efficient way to process this large aggregate of data."	51	60
"aggregate"	"aggregate_vrb"	"Can you aggregate your team's work so we can review it together?"	8	17
"aggregate"	"aggregate_vrb"	"It's important to aggregate your resources effectively to achieve maximum efficiency."	18	27
"aggregate"	"aggregate_vrb"	"The researcher had to aggregate years of data before she could begin analyzing the effects of climate change."	22	31
"aggregate"	"aggregate_vrb"	"The team leader asked everyone to aggregate their individual reports into a single document."	34	43
"aggregate"	"aggregate_vrb"	"To save time, let's aggregate similar tasks together and complete them at once."	20	29
"alternate"	"alternate_adj-nou"	"An alternate ending to the movie left viewers wondering what could have been."	3	12
"alternate"	"alternate_adj-nou"	"I need to find an alternate way to get home since my car broke down."	18	27
"alternate"	"alternate_adj-nou"	"Let's try an alternate solution to fix this problem."	13	22
"alternate"	"alternate_adj-nou"	"To avoid traffic, take an alternate exit off the highway."	26	35
"alternate"	"alternate_adj-nou"	"There's an alternate explanation for the strange occurrence that happened last weekend."	11	20
"alternate"	"alternate_vrb"	"Because there were only four chairs available at the restaurant, we decided to alternate sitting down and standing up throughout our meal."	79	88
"alternate"	"alternate_vrb"	"Employees must alternate days working from home per new policy."	15	24
"alternate"	"alternate_vrb"	"My doctor advised me to alternate painkillers because of stomach issues."	24	33
"alternate"	"alternate_vrb"	"The event coordinator chose to alternate musical acts for better variety."	31	40
"alternate"	"alternate_vrb"	"We need to alternate our vacation plans due to budget constraints."	11	20
"analyses"	"analyses_nou"	"A panel of judges evaluates each contestant's performance by considering several factors during dance competition analyses."	114	122
"analyses"	"analyses_nou"	"Environmentalists collaborate with policymakers to create sustainable solutions based on environmental impact analyses."	110	118
"analyses"	"analyses_nou"	"Forensic investigators carefully examine physical evidence and DNA samples during criminal case analyses."	96	104
"analyses"	"analyses_nou"	"Our team has been conducting market analyses to determine the best strategy for our new product launch."	36	44
"analyses"	"analyses_nou"	"Software developers use debugging tools to run code analyses that help locate programming errors quickly."	52	60
"analyses"	"analyses_vrb"	"He analyses medical records to identify potential health risks."	3	11
"analyses"	"analyses_vrb"	"The marketing firm analyses consumer data to create targeted campaigns."	19	27
"analyses"	"analyses_vrb"	"A team of scientists analyses samples from the field to study environmental changes."	21	29
"analyses"	"analyses_vrb"	"The report that analyses the market trends is on my desk."	16	24
"analyses"	"analyses_vrb"	"Some fraudulent activities have been detected by an algorithm that analyses user behavior."	67	75
"animate"	"animate_adj-nou"	"Even though he was just a cartoon character, he seemed so alive and animate."	68	75
"animate"	"animate_adj-nou"	"Animals have evolved amazing strategies to communicate through movement, including flashy feathers or bright colors, loud calls, and even animate dances."	138	145
"animate"	"animate_adj-nou"	"It was hard not to be captivated by her animate smile."	40	47
"animate"	"animate_adj-nou"	"The animate creatures in the forest were a delight to watch."	4	11
"animate"	"animate_adj-nou"	"The company hired an animate artist to design their logo."	21	28
"animate"	"animate_vrb"	"Did you know that some video games allow players to create and animate their own characters?"	63	70
"animate"	"animate_vrb"	"Her voice was so expressive that it seemed to animate even the most mundane script."	46	53
"animate"	"animate_vrb"	"In traditional Japanese theatre, actors wear elaborate costumes and masks to animate mythical creatures."	77	84
"animate"	"animate_vrb"	"The teacher asked her students to animate a short story for their class project."	34	41
"animate"	"animate_vrb"	"With just a few clicks, you can animate your presentation slides to make them more engaging."	32	39
"appropriate"	"appropriate_adj"	"Appropriate lighting enhanced the ambiance in the dining room."	0	11
"appropriate"	"appropriate_adj"	"Her tone was appropriate for the serious conversation they were having."	13	24
"appropriate"	"appropriate_adj"	"It's important to use appropriate language when communicating with children."	22	33
"appropriate"	"appropriate_adj"	"The company took appropriate measures to address the security breach."	17	28
"appropriate"	"appropriate_adj"	"The weather forecast called for appropriate clothing."	32	43
"appropriate"	"appropriate_vrb"	"You shouldn't appropriate someone else's work without giving them credit."	14	25
"appropriate"	"appropriate_vrb"	"Someone has noticed him appropriate funds meant for charity to pay off his personal debts."	24	35
"appropriate"	"appropriate_vrb"	"The government decided to appropriate land from local farmers to build a new highway."	26	37
"appropriate"	"appropriate_vrb"	"After taxes and expenses, there isn't much left over to appropriate towards savings or investments."	56	67
"appropriate"	"appropriate_vrb"	"They were able to appropriate a large sum of money towards charitable causes last year."	18	29
"approximate"	"approximate_adj-nou"	"After calculating the approximate cost of materials and labor, they decided to adjust their budget accordingly."	22	33
"approximate"	"approximate_adj-nou"	"He made an approximate guess at how many people would show up."	11	22
"approximate"	"approximate_adj-nou"	"It was difficult to get an exact count, so we had to settle for an approximate headcount."	67	78
"approximate"	"approximate_adj-nou"	"The company's approximate revenue last year was $1 million."	14	25
"approximate"	"approximate_adj-nou"	"To calculate the cost per person, we need an approximate idea of how many will show up."	45	56
"approximate"	"approximate_vrb"	"Can you approximate how much paint we'll need for the living room walls?"	8	19
"approximate"	"approximate_vrb"	"If we round up our expenses, we can approximate the total amount spent so far."	36	47
"approximate"	"approximate_vrb"	"In order to simplify calculations, we can approximate pi as being equal to 3.14."	42	53
"approximate"	"approximate_vrb"	"There were about 50 people at the party; give or take a few, if we approximate."	67	78
"approximate"	"approximate_vrb"	"She tried to approximate the number of people who would attend the concert."	13	24
"articulate"	"articulate_adj"	"After years of public speaking practice, she had become incredibly articulate and confident on stage."	67	77
"articulate"	"articulate_adj"	"Articulate storytelling is essential for captivating readers and keeping them engaged."	0	10
"articulate"	"articulate_adj"	"Despite being nervous, she delivered an articulate presentation that won over the audience."	40	50
"articulate"	"articulate_adj"	"He was known for his articulate writing style, which made complex ideas easy to understand."	21	31
"articulate"	"articulate_adj"	"His articulate words convinced the investors to fund his startup idea."	4	14
"articulate"	"articulate_vrb"	"The speaker was able to articulate his message in a way that resonated with the audience."	24	34
"articulate"	"articulate_vrb"	"It takes skill to articulate abstract ideas in concrete terms."	18	28
"articulate"	"articulate_vrb"	"With effort, she learned to articulate her needs more assertively."	28	38
"articulate"	"articulate_vrb"	"The artist took great care to articulate every detail of the painting."	30	40
"articulate"	"articulate_vrb"	"Finding just the right words can be difficult when trying to articulate emotions."	61	71
"associate"	"associate_adj-nou"	"After five years as an associate, they finally offered her a full partnership."	23	32
"associate"	"associate_adj-nou"	"My doctor referred me to an associate who specializes in physical therapy."	28	37
"associate"	"associate_adj-nou"	"Can we get your associate to handle this project? They seem very capable."	16	25
"associate"	"associate_adj-nou"	"Associate attorneys often have to put in long hours before being considered for partner."	0	9
"associate"	"associate_adj-nou"	"She was promoted to associate manager after excelling in her role for several years."	20	29
"associate"	"associate_vrb"	"We must not associate this project with any negative publicity."	12	21
"associate"	"associate_vrb"	"After graduation, she chose not to associate with anyone from school anymore due to negative memories."	35	44
"associate"	"associate_vrb"	"My boss tends to associate me with tasks that require strong attention to detail."	17	26
"associate"	"associate_vrb"	"The doctor wants to associate my symptoms with a specific illness."	20	29
"associate"	"associate_vrb"	"You should strive to only associate yourself professionally with others whose standards match yours—or higher!"	26	35
"attribute"	"attribute_nou"	"Meticulousness became an essential attribute when creating products for our discerning clientele."	35	44
"attribute"	"attribute_nou"	"His lack of experience was the main attribute that held him back from getting the promotion."	36	45
"attribute"	"attribute_nou"	"The job candidate's strong work ethic was an attribute that impressed the interviewer."	45	54
"attribute"	"attribute_nou"	"His attention to detail is an attribute that has served him well in his career as a surgeon."	30	39
"attribute"	"attribute_nou"	"The company's commitment to sustainability is an admirable attribute that sets it apart from competitors."	59	68
"attribute"	"attribute_vrb"	"We attribute our happiness to a strong support system from friends and family."	3	12
"attribute"	"attribute_vrb"	"The astronauts attribute their successful mission to meticulous planning and flawless execution."	15	24
"attribute"	"attribute_vrb"	"I attribute my love of cooking to my grandmother's teachings."	2	11
"attribute"	"attribute_vrb"	"We can attribute our team's win to good communication skills during the game."	7	16
"attribute"	"attribute_vrb"	"You should attribute any mistakes to your own actions, not blaming others."	11	20
"august"	"august_adj"	"In keeping with tradition, the new king was crowned in an ornate, august ceremony."	66	72
"august"	"august_adj"	"Her voice had a rich, august quality that made her a sought-after narrator for audiobooks."	22	28
"august"	"august_adj"	"His writing style was described by critics as both erudite and august."	63	69
"august"	"august_adj"	"Our team worked tirelessly to create an august product that would impress investors."	40	46
"august"	"august_adj"	"Despite being in his twilight years, my great-uncle still possessed an august spirit."	71	77
"august"	"august"	"They got married on an August afternoon surrounded by friends and family."	23	29
"august"	"august"	"She won the gold medal at the August Olympics."	30	36
"august"	"august"	"They released their debut album in August to positive reviews."	35	41
"august"	"august"	"My birthday is in August, so I always look forward to that month."	18	24
"august"	"august"	"We went on a family vacation in August and had a great time."	32	38
"august"	"august_nam"	"August's parents were thrilled to welcome their new baby boy into the world."	0	6
"august"	"august_nam"	"After graduation, August decided to pursue a career in music production."	18	24
"august"	"august_nam"	"In high school, August formed a band with his friends and they played gigs all over town."	16	22
"august"	"august_nam"	"Eventually, August landed an internship at a prestigious recording studio and worked hard to impress his bosses."	12	18
"august"	"august_nam"	"As he grew up, August developed a passion for playing music."	15	21
"axes"	"axes_nou"	"The coordinates of point A are (3,4) on the Cartesian plane's axes."	62	66
"axes"	"axes_nou"	"The graph has two axes: the x-axis and the y-axis."	18	22
"axes"	"axes_nou"	"Plotting multiple lines on a single set of axes allows viewers to compare their behaviors simultaneously."	43	47
"axes"	"axes_nou"	"Use the arrow keys to move along the axes, and press R to reset the view."	37	41
"axes"	"axes_nou"	"How do you label the axes when there’re more than one variable?"	21	25
"axes"	"axes_nou-vrb"	"He was skilled at juggling multiple priorities and keeping all his axes in the air."	67	71
"axes"	"axes_nou-vrb"	"My grandfather still uses old hand-forged garden axes from his childhood to tend to his vegetable patch."	49	53
"axes"	"axes_nou-vrb"	"The archaeologist uncovered ancient battle-axes in the ruins of the medieval castle."	43	47
"axes"	"axes_nou-vrb"	"She was a skilled warrior who often preferred to enter combat wielding two axes."	75	79
"axes"	"axes_nou-vrb"	"Hatchets or axes are the preferred tool for chopping wood."	12	16
"bass"	"bass"	"In jazz, the double bass provides a steady beat that keeps everything moving forward."	20	24
"bass"	"bass"	"Playing bass requires both strength and finesse; it's not an easy instrument to master."	8	12
"bass"	"bass"	"The reggae group's use of heavy bass emphasized the importance of rhythm in their music."	32	36
"bass"	"bass"	"As the only girl in our high school rock band, Sarah absolutely killed it on bass."	77	81
"bass"	"bass"	"Her smooth bass playing style blended seamlessly into the background during ballads but shone brightest when things got funky."	11	15
"bass"	"bass_corp"	"The restaurant served a delicious dish of seafood paella, complete with succulent shrimp and flavorful bass."	103	107
"bass"	"bass_corp"	"The fisherman cast his line into the water, hoping to catch a large bass."	68	72
"bass"	"bass_corp"	"The underwater world teemed with life, including colorful coral reefs and schools of exotic bass."	92	96
"bass"	"bass_corp"	"Her favorite nigiri was the rosy sea bass."	37	41
"bass"	"bass_corp"	"Bass pro hats are a favorite of hipsters these days."	0	4
"blessed"	"blessed_adj"	"The new parents felt blessed to hold their baby boy in their arms."	21	28
"blessed"	"blessed_adj"	"It was a blessed day indeed when they adopted two sweet kittens into their family."	9	16
"blessed"	"blessed_adj"	"His blessed sense of humor made everyone laugh during tense moments."	4	11
"blessed"	"blessed_adj"	"Blessed is the land and the kingdom."	0	7
"blessed"	"blessed_adj"	"That truly is a blessed moment."	16	23
"blessed"	"blessed_vrb"	"The priest blessed the congregation before they left the church."	11	18
"blessed"	"blessed_vrb"	"The company's innovative ideas have blessed it with rapid growth and recognition."	36	43
"blessed"	"blessed_vrb"	"The couple considered themselves blessed to find each other despite obstacles."	33	40
"blessed"	"blessed_vrb"	"My grandmother was blessed with a long and fulfilling career."	19	26
"blessed"	"blessed_vrb"	"They were blessed with beautiful weather on their wedding day."	10	17
"bologna"	"bologna_geo"	"Bologna's strong work ethic landed her a coveted internship at a top company."	0	7
"bologna"	"bologna_geo"	"Bologna's unique fashion style set her apart from her peers."	0	7
"bologna"	"bologna_geo"	"In sports, Bologna was known for her lightning-fast reflexes and agility."	11	18
"bologna"	"bologna_geo"	"We spent hours exploring the medieval streets of Bologna, getting lost in the maze-like alleys."	49	56
"bologna"	"bologna_geo"	"There's nothing quite like sipping an espresso at a sidewalk cafe in Bologna while watching locals go by."	69	76
"bologna"	"bologna"	"The bologna was a thinly sliced meat that seemed to stretch on forever."	4	11
"bologna"	"bologna"	"He thought it was hilarious to put bologna in his sister's lunchbox instead of turkey."	35	42
"bologna"	"bologna"	"Whenever we went camping, Mom would bring along sliced bologna for quick breakfast burritos."	55	62
"bologna"	"bologna"	"I can't believe he said that to me! What a bunch of bologna!"	52	59
"bologna"	"bologna"	"She rummaged through her purse, searching for the elusive bologna receipt."	58	65
"bow"	"bow_nou-knot"	"The little girl was thrilled when Santa handed her a shiny new bike with a big red bow."	83	86
"bow"	"bow_nou-knot"	"He presented her with a beautiful bouquet tied with a satin bow."	60	63
"bow"	"bow_nou-knot"	"He drew back his bow and let fly an arrow at the target."	17	20
"bow"	"bow_nou-knot"	"Bending the branch into a bow requires patience and practice."	26	29
"bow"	"bow_nou-knot"	"The violinist's skillful bow movements created beautiful melodies."	25	28
"bow"	"bow_nou-ship"	"Their boat glided quietly beneath the bow of a towering cruise ship."	38	41
"bow"	"bow_nou-ship"	"Turn towards the bow as we tack!"	17	20
"bow"	"bow_nou-ship"	"The company decided to bow out of the project after realizing its unprofitability."	23	26
"bow"	"bow_nou-ship"	"It was customary for guests to bow upon entering the home of a noble family."	31	34
"bow"	"bow_nou-ship"	"The performers took their final bow as the audience cheered and applauded."	32	35
"buffet"	"buffet_nou"	"They had been looking forward to trying out this new sushi buffet downtown since last month."	59	65
"buffet"	"buffet_nou"	"There were so many delicious options at the brunch buffet that it took us hours to try them all."	51	57
"buffet"	"buffet_nou"	"The all-you-can-eat buffet at the local restaurant was a popular destination for families on weekends."	20	26
"buffet"	"buffet_nou"	"Aunt Mary always put together an impressive cheese board for her annual holiday party buffet."	86	92
"buffet"	"buffet_nou"	"After a day spent exploring the city, they returned to their hostel for a simple but satisfying lunchtime buffet."	106	112
"buffet"	"buffet_vrb"	"The team worked tirelessly to buffet their opponents during the championship game."	30	36
"buffet"	"buffet_vrb"	"Buffet your senses with this new virtual reality experience - it'll transport you to another world!"	0	6
"buffet"	"buffet_vrb"	"To avoid another embarrassing defeat, the coach decided to buffet his players with extra practice sessions before the next big game."	59	65
"buffet"	"buffet_vrb"	"We watched strong winds and heavy rain buffet the trees in the storm."	39	45
"buffet"	"buffet_vrb"	"The economic downturn continues to buffet small businesses."	35	41
"celtic"	"celtic_adj-nou-sports"	"Liverpool will face Celtic FC in the semi-finals of the UEFA Cup."	20	26
"celtic"	"celtic_adj-nou-sports"	"Glasgow Celtic won the Scottish Premiership title for the eighth time in a row."	8	14
"celtic"	"celtic_adj-nou-sports"	"Fans were delighted by the news that former Celtic striker Henrik Larsson had returned to the club as manager."	44	50
"celtic"	"celtic_adj-nou-sports"	"In basketball, the term ""Celtic Pride"" refers to the team's iconic green and white jerseys."	25	31
"celtic"	"celtic_adj-nou-sports"	"A large brawl broke out among fans of rival clubs Rangers and Celtic."	62	68
"celtic"	"celtic"	"The intricate patterns on the Celtic knotwork tapestry reflected centuries of craftsmanship."	30	36
"celtic"	"celtic"	"He played traditional Celtic music on his fiddle during the festival celebrations."	22	28
"celtic"	"celtic"	"The intricate designs on the Celtic cross symbolized the connection between earthly life and eternal spiritual realms."	29	35
"celtic"	"celtic"	"Her love of all things Celtic led her to learn how to play the bodhran drum."	23	29
"celtic"	"celtic"	"He was fascinated by Celtic mythology and spent years studying the stories and legends."	21	27
"close"	"close_adj-nou"	"As children, my siblings and I would spend hours playing games that required us to be close together."	86	91
"close"	"close_adj-nou"	"The teacher encouraged her students to work together in small, close groups."	63	68
"close"	"close_adj-nou"	"She held her close friend's hand during the difficult time."	13	18
"close"	"close_adj-nou"	"The two countries share a long border and have historically had very close ties."	69	74
"close"	"close_adj-nou"	"Her voice was soft and gentle, making everyone feel safe and close to her."	61	66
"close"	"close_vrb"	"Close your mouth while you're chewing, it's impolite to talk with food in your mouth."	0	5
"close"	"close_vrb"	"The company is planning to close several underperforming locations next quarter."	27	32
"close"	"close_vrb"	"The government has decided to close its borders due to the pandemic."	30	35
"close"	"close_vrb"	"I need to close this deal by the end of the week."	10	15
"close"	"close_vrb"	"After careful consideration, they chose to close on the house."	43	48
"combine"	"combine_nou"	"The farmer used a powerful combine to harvest the wheat field."	27	34
"combine"	"combine_nou"	"The combine efficiently gathered the crops in a single pass."	4	11
"combine"	"combine_nou"	"The combine's blades effortlessly cut through the tall wheat."	4	11
"combine"	"combine_nou"	"A powerful industrial combine is sure to turn large profits."	22	29
"combine"	"combine_nou"	"The political parties joined forces to create a strong combine that could challenge the ruling party."	55	62
"combine"	"combine_vrb"	"The team worked together to combine their strengths and overcome their weaknesses."	28	35
"combine"	"combine_vrb"	"Hydrogen and oxygen combine to make water."	20	27
"combine"	"combine_vrb"	"The new software will combine data from multiple sources into one dashboard."	22	29
"combine"	"combine_vrb"	"The hotel offers guests the option to combine breakfast and lunch in a single meal plan."	38	45
"combine"	"combine_vrb"	"To save time, let's combine errands by grouping similar tasks together."	20	27
"compact"	"compact_adj-nou"	"She carried a compact umbrella in her purse for unexpected rainstorms."	14	21
"compact"	"compact_adj-nou"	"The compact camera produced high-quality photos despite its size."	4	11
"compact"	"compact_adj-nou"	"His job required him to travel frequently, so he opted for a compact suitcase set."	61	68
"compact"	"compact_adj-nou"	"To avoid taking up too much shelf space, buy books with compact sizes whenever possible."	56	63
"compact"	"compact_adj-nou"	"Her makeup bag contained a compact powder foundation that lasted all day."	27	34
"compact"	"compact_vrb"	"After camping, they had to compact their tent to carry home."	27	34
"compact"	"compact_vrb"	"By using a packing cube set, I was able to compact my clothing neatly inside my carryon."	43	50
"compact"	"compact_vrb"	"I compact my books on the shelf so there's room for more."	2	9
"compact"	"compact_vrb"	"They had to compact their car trunk to fit all of their luggage for the trip."	12	19
"compact"	"compact_vrb"	"The government plans to compact urban areas by building more high-rise apartments."	24	31
"compound"	"compound_nou"	"Designing a sustainable compound for a community of artists required careful consideration of natural light and ventilation."	24	32
"compound"	"compound_nou"	"Aspirin is a medicinal compound derived from salicylic acid and acetic anhydride."	23	31
"compound"	"compound_nou"	"The molecular formula for water is H2O, which indicates that it is a binary compound composed of two elements."	76	84
"compound"	"compound_nou"	"She applied a compound cream to her skin to soothe the irritation."	14	22
"compound"	"compound_nou"	"He studied the effects of compound exercises on muscle growth in his research project."	26	34
"compound"	"compound_vrb"	"Scientists have found evidence suggesting that environmental pollution can compound genetic predispositions leading toward disease susceptibility."	75	83
"compound"	"compound_vrb"	"High humidity caused moisture buildup within the walls, creating an ideal environment for mold to grow and further compound structural issues."	115	123
"compound"	"compound_vrb"	"Wealth disparities worsen when those who already possess assets receive preferential interest rates, allowing their riches to compound faster than others'."	126	134
"compound"	"compound_vrb"	"They hoped that their investments would compound over time, generating substantial returns."	40	48
"compound"	"compound_vrb"	"I asked the pharmacist to compound a custom medication for my unique medical needs."	26	34
"compress"	"compress_nou"	"Tom used a compress to soothe the bruise on his arm."	11	19
"compress"	"compress_nou"	"The nurse provided a compress to alleviate the patient's pain."	21	29
"compress"	"compress_nou"	"He applied a compress to stop the bleeding from the wound."	13	21
"compress"	"compress_nou"	"The compress helped relieve the pressure and discomfort on his knee."	4	12
"compress"	"compress_nou"	"The athlete held a compress against the cut to slow down the bleeding."	19	27
"compress"	"compress"	"They use special machines to compress trash at landfill sites."	29	37
"compress"	"compress"	"His speech was so long that they had to compress it by half an hour."	40	48
"compress"	"compress"	"You should compress that folder before sending it over email."	11	19
"compress"	"compress"	"The system uses algorithms to compress and decompress digital signals."	30	38
"compress"	"compress"	"After years of practice, she was able to compress her golf swing into just three seconds."	41	49
"conduct"	"conduct_nou"	"There were concerns about the safety of passengers due to questionable flight crew member conduct."	90	97
"conduct"	"conduct_nou"	"After reviewing security footage, police identified several individuals whose conduct raised suspicions."	78	85
"conduct"	"conduct_nou"	"A good teacher should always model excellent classroom conduct for their students."	55	62
